Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5116,6285,,B-314-19,176778,UCI_TMF,UCI_TMF,male,Mouse ,N1,7/4/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5114,6283,,B-314-19,176778,UCI_TMF,UCI_TMF,male,Mouse ,N1,7/4/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5113,6282,,B-314-19,176778,UCI_TMF,UCI_TMF,male,Mouse ,N1,7/4/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5059,6226,,B-306-19,176774,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/28/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5015,6153,,B-299-19,176782,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5013,6151,,B-299-19,176782,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5045,6183,,B-305-19,176780,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/28/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5043,6181,,B-305-19,176780,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/28/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5034,6172,,B-304-19,176775,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/27/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5036,6174,,B-304-19,176775,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/27/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5037,6175,,B-304-19,176775,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/27/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,4993,6131,,B-301-19,176783,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,4992,6130,,B-301-19,176783,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/26/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,4991,6129,,B-301-19,176783,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/26/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5021,6159,,B-300-19,176781,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/26/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5022,6160,,B-300-19,176781,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/26/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5039,6177,,B-305-19,176780,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/28/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5041,6179,,B-305-19,176780,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/28/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,5032,6170,,B-304-19,176775,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/27/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC017F1,B6JCC017F1.5XFAD,,
,3121,4006,,B-33-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
