individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
7549,8980,,B-73-20,161814,UCI_TMF,UCI_TMF,female,Mouse,N1,1/19/20,12,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
7580,9011,,B-61-20,197354 [ABI3-A],UCI_TMF,UCI_TMF,female,Mouse,N2-F1,1/21/20,12,months,,,7% standard,,,,,,35871,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
7715,9146,,B-86-20,194453,UCI_TMF,UCI_TMF,female,Mouse,F1,1/30/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
7764,9195,,B-105-20,204061 [BIN1 A],UCI_TMF,UCI_TMF,male,Mouse,F1,2/4/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
7772,9203,,B-108-20,209787,UCI_TMF,UCI_TMF,male,Mouse,F1,2/5/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
7939,9377,,B-144-20,194453,UCI_TMF,UCI_TMF,female,Mouse,F1,2/20/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
8041,9479,,B-165-20,220402,UCI_TMF,UCI_TMF,male,Mouse,F2,2/26/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
8062,9500,,B-177-20,197295 [16983 A-1],UCI_TMF,UCI_TMF,female,Mouse,N1-F1,3/1/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
8123,9579,,B-188-20,214791,UCI_TMF,UCI_TMF,female,Mouse,N2-F1,3/5/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
8350,9837,,B-242-20,227065,UCI_TMF,UCI_TMF,male,Mouse,F1,3/23/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
9730,11311,,B-517-20,I-356,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9719,11300,,B-515-20,I-352/353,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9717,11298,,B-515-20,I-352/353,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9716,11297,,B-515-20,I-352/353,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9714,11295,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9708,11289,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9706,11287,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9473,11034,,B-453-20,217511,UCI_TMF,UCI_TMF,female,Mouse,F2,6/4/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9726,11307,,B-517-20,I-356,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9725,11306,,B-517-20,I-356,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9724,11305,,B-517-20,I-356,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9718,11299,,B-515-20,I-352/353,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9711,11292,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9710,11291,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9709,11290,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9707,11288,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,female,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9705,11286,,B-514-20,I-350/351,UCI_TMF,UCI_TMF,male,Mouse,F3,6/25/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9474,11035,,B-453-20,217511,UCI_TMF,UCI_TMF,female,Mouse,F2,6/4/20,4,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
15520,17653,,B-628-21,297397,UCI_TMF,UCI_TMF,female,Mouse,N2-F1,10/2/21,4,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
15519,17652,,B-628-21,297397,UCI_TMF,UCI_TMF,female,Mouse,N2-F1,10/2/21,4,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
15515,17648,,B-623-21,325112,UCI_TMF,UCI_TMF,female,Mouse,,10/1/21,4,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
15510,17643,,B-623-21,325112,UCI_TMF,UCI_TMF,male,Mouse,,10/1/21,4,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
